import time: self [us] | cumulative | imported package
import time:        37 |         37 |                         errno
import time:       660 |        660 |                           _heapq
import time:       339 |        999 |                         heapq
import time:       801 |        801 |                             math
import time:      1105 |       1105 |                             select
import time:       685 |       2590 |                           selectors
import time:       888 |        888 |                           array
import time:      1126 |       4603 |                         socket
import time:        45 |         45 |                             _locale
import time:       892 |        937 |                           locale
import time:       568 |        568 |                           signal
import time:       662 |        662 |                           fcntl
import time:        61 |         61 |                           msvcrt
import time:       694 |        694 |                           _posixsubprocess
import time:       895 |       3814 |                         subprocess
import time:      6561 |       6561 |                           _ssl
import time:       617 |        617 |                               _struct
import time:       375 |        992 |                             struct
import time:       584 |        584 |                             binascii
import time:       504 |       2079 |                           base64
import time:      2844 |      11483 |                         ssl
import time:       213 |        213 |                         asyncio.constants
import time:       261 |        261 |                         asyncio.coroutines
import time:       585 |        585 |                             _contextvars
import time:       150 |        735 |                           contextvars
import time:       131 |        131 |                           asyncio.format_helpers
import time:       148 |        148 |                             asyncio.base_futures
import time:       195 |        195 |                             asyncio.exceptions
import time:       238 |        238 |                             asyncio.base_tasks
import time:       734 |       1312 |                           _asyncio
import time:       549 |       2726 |                         asyncio.events
import time:       286 |        286 |                         asyncio.futures
import time:       254 |        254 |                         asyncio.protocols
import time:       371 |        371 |                           asyncio.transports
import time:       109 |        109 |                           asyncio.log
import time:       562 |       1041 |                         asyncio.sslproto
import time:       118 |        118 |                             asyncio.mixins
import time:       543 |        660 |                           asyncio.locks
import time:       466 |        466 |                             asyncio.timeouts
import time:       412 |        877 |                           asyncio.tasks
import time:       294 |       1831 |                         asyncio.staggered
import time:       457 |        457 |                         asyncio.trsock
import time:       949 |      35377 |                       asyncio.base_events
import time:       312 |        312 |                       asyncio.runners
import time:       343 |        343 |                       asyncio.queues
import time:       397 |        397 |                       asyncio.streams
import time:       197 |        197 |                       asyncio.subprocess
import time:       312 |        312 |                       asyncio.taskgroups
import time:       181 |        181 |                       asyncio.threads
import time:       345 |        345 |                         asyncio.base_subprocess
import time:       683 |        683 |                         asyncio.selector_events
import time:       652 |       1678 |                       asyncio.unix_events
import time:       377 |      39170 |                     asyncio
import time:        16 |      39186 |                   asyncio.coroutines
import time:      6567 |      49191 |                 pydantic_core.core_schema
import time:       572 |      54065 |               pydantic_core
import time:       354 |      54418 |             pydantic.version
import time:       354 |      54772 |           pydantic._migration
import time:       258 |        258 |               typing_inspection
import time:       808 |        808 |                 copy
import time:       608 |       1416 |               dataclasses
import time:      1187 |       1187 |               typing_inspection.typing_objects
import time:       763 |       3623 |             typing_inspection.introspection
import time:       357 |        357 |             pydantic._internal
import time:       591 |        591 |                 pydantic._internal._namespace_utils
import time:       643 |       1233 |               pydantic._internal._typing_extra
import time:       366 |       1599 |             pydantic._internal._repr
import time:       582 |       6159 |           pydantic.errors
import time:       504 |      61434 |         pydantic
import time:      5612 |       5612 |           annotated_types
import time:      1069 |       1069 |             fractions
import time:      1099 |       1099 |             ipaddress
import time:       546 |        546 |                 sysconfig
import time:       838 |        838 |                 _sysconfigdata__darwin_darwin
import time:       320 |        320 |                 _osx_support
import time:      1144 |       2847 |               zoneinfo._tzpath
import time:       275 |        275 |               zoneinfo._common
import time:       819 |        819 |               _zoneinfo
import time:       318 |       4257 |             zoneinfo
import time:       291 |        291 |             pydantic._internal._import_utils
import time:       559 |       7272 |           pydantic._internal._validators
import time:       306 |        306 |               fnmatch
import time:        56 |         56 |                 _winapi
import time:        49 |         49 |                 nt
import time:        44 |         44 |                 nt
import time:        43 |         43 |                 nt
import time:        42 |         42 |                 nt
import time:        42 |         42 |                 nt
import time:        41 |         41 |                 nt
import time:        65 |        377 |               ntpath
import time:       244 |        244 |                 urllib
import time:       886 |       1129 |               urllib.parse
import time:       864 |       2675 |             pathlib
import time:       585 |        585 |               _uuid
import time:       599 |       1184 |             uuid
import time:       322 |        322 |                 pydantic._internal._core_utils
import time:       474 |        474 |                 pydantic._internal._forward_ref
import time:       905 |        905 |                 pydantic._internal._utils
import time:       511 |       2211 |               pydantic._internal._generics
import time:       190 |        190 |                   pydantic._internal._internal_dataclass
import time:       909 |       1099 |                 pydantic.aliases
import time:       931 |        931 |                 pydantic.config
import time:       372 |       2401 |               pydantic._internal._config
import time:       315 |        315 |               pydantic._internal._docs_extraction
import time:       992 |       5918 |             pydantic._internal._fields
import time:       251 |        251 |             pydantic.annotated_handlers
import time:       236 |        236 |               pydantic._internal._core_metadata
import time:      2636 |       2636 |               pydantic._internal._decorators
import time:       520 |        520 |                   pydantic.plugin
import time:       401 |        921 |                 pydantic.plugin._schema_validator
import time:       501 |       1421 |               pydantic._internal._mock_val_ser
import time:       361 |        361 |               pydantic._internal._schema_generation_shared
import time:      2162 |       6815 |             pydantic.json_schema
import time:      4891 |      21731 |           pydantic.types
import time:      1561 |      36175 |         pydantic.fields
import time:       273 |        273 |             httpx.__version__
import time:      6751 |       6751 |                     _hashlib
import time:       612 |        612 |                     _blake2
import time:       518 |       7880 |                   hashlib
import time:       542 |        542 |                       _bisect
import time:       266 |        808 |                     bisect
import time:       267 |        267 |                     email
import time:       642 |        642 |                       http
import time:       478 |        478 |                           email.errors
import time:       297 |        297 |                               email.quoprimime
import time:       266 |        266 |                               email.base64mime
import time:       247 |        247 |                                   quopri
import time:       193 |        439 |                                 email.encoders
import time:       259 |        697 |                               email.charset
import time:       680 |       1939 |                             email.header
import time:       597 |        597 |                                 _random
import time:       657 |        657 |                                 _sha2
import time:       456 |       1708 |                               random
import time:       974 |        974 |                                 calendar
import time:       366 |       1339 |                               email._parseaddr
import time:       515 |       3562 |                             email.utils
import time:       378 |       5878 |                           email._policybase
import time:       479 |       6833 |                         email.feedparser
import time:       419 |       7251 |                       email.parser
import time:       336 |        336 |                         email._encoded_words
import time:       283 |        283 |                         email.iterators
import time:       554 |       1172 |                       email.message
import time:       899 |       9962 |                     http.client
import time:       732 |        732 |                         zlib
import time:       299 |        299 |                           _compression
import time:       589 |        589 |                           _bz2
import time:       415 |       1302 |                         bz2
import time:      1594 |       1594 |                           _lzma
import time:       354 |       1947 |                         lzma
import time:       672 |       4652 |                       shutil
import time:       519 |       5171 |                     tempfile
import time:       268 |        268 |                       urllib.response
import time:       312 |        580 |                     urllib.error
import time:       632 |        632 |                     _scproxy
import time:      1307 |      18723 |                   urllib.request
import time:       711 |        711 |                   httpx._exceptions
import time:      1052 |       1052 |                           _json
import time:       350 |       1401 |                         json.scanner
import time:       492 |       1893 |                       json.decoder
import time:       458 |        458 |                       json.encoder
import time:       327 |       2676 |                     json
import time:      2026 |       2026 |                     http.cookiejar
import time:        64 |         64 |                           _winapi
import time:        49 |         49 |                           winreg
import time:       500 |        611 |                         mimetypes
import time:       915 |        915 |                         httpx._types
import time:      1058 |       1058 |                         httpx._utils
import time:       575 |       3157 |                       httpx._multipart
import time:       372 |       3528 |                     httpx._content
import time:        57 |         57 |                       brotli
import time:        49 |         49 |                       brotlicffi
import time:        45 |         45 |                       zstandard
import time:       423 |        574 |                     httpx._decoders
import time:       786 |        786 |                     httpx._status_codes
import time:      1138 |       1138 |                           unicodedata
import time:       675 |        675 |                           idna.idnadata
import time:       285 |        285 |                           idna.intranges
import time:       827 |       2924 |                         idna.core
import time:       221 |        221 |                         idna.package_data
import time:       271 |       3415 |                       idna
import time:      1222 |       1222 |                       httpx._urlparse
import time:       523 |       5160 |                     httpx._urls
import time:       833 |      15580 |                   httpx._models
import time:       525 |      43417 |                 httpx._auth
import time:       409 |        409 |                 httpx._config
import time:       345 |        345 |                       httpx._transports.base
import time:       403 |        748 |                     httpx._transports.asgi
import time:       418 |        418 |                     httpx._transports.default
import time:       270 |        270 |                     httpx._transports.mock
import time:       243 |        243 |                     httpx._transports.wsgi
import time:       265 |       1942 |                   httpx._transports
import time:        18 |       1959 |                 httpx._transports.base
import time:       675 |      46459 |               httpx._client
import time:       338 |      46796 |             httpx._api
import time:       829 |        829 |                   gettext
import time:       539 |        539 |                     click._compat
import time:       363 |        363 |                       click.globals
import time:       349 |        349 |                       click.utils
import time:       668 |       1378 |                     click.exceptions
import time:       999 |       2915 |                   click.types
import time:       386 |        386 |                     click.parser
import time:       340 |        726 |                   click.formatting
import time:       417 |        417 |                   click.termui
import time:      1284 |       6169 |                 click.core
import time:       386 |        386 |                 click.decorators
import time:       530 |       7084 |               click
import time:       480 |        480 |                 pygments
import time:      1481 |       1481 |                 pygments.lexers._mapping
import time:       581 |        581 |                 pygments.modeline
import time:       728 |        728 |                       _csv
import time:       431 |       1158 |                     csv
import time:       271 |        271 |                         importlib._abc
import time:       106 |        377 |                       importlib.util
import time:       253 |        253 |                         zipfile._path.glob
import time:       588 |        841 |                       zipfile._path
import time:       866 |       2082 |                     zipfile
import time:       108 |        108 |                         importlib.metadata._functools
import time:       444 |        551 |                       importlib.metadata._text
import time:       310 |        861 |                     importlib.metadata._adapters
import time:       302 |        302 |                     importlib.metadata._meta
import time:       213 |        213 |                     importlib.metadata._collections
import time:       104 |        104 |                     importlib.metadata._itertools
import time:       369 |        369 |                           importlib.resources.abc
import time:       315 |        315 |                           importlib.resources._adapters
import time:       475 |       1159 |                         importlib.resources._common
import time:       286 |        286 |                         importlib.resources._legacy
import time:       227 |       1671 |                       importlib.resources
import time:       388 |       2059 |                     importlib.abc
import time:       940 |       7715 |                   importlib.metadata
import time:       248 |       7963 |                 pygments.plugin
import time:       752 |        752 |                 pygments.util
import time:       510 |      11765 |               pygments.lexers
import time:       543 |        543 |                   rich._extension
import time:       425 |        967 |                 rich
import time:       807 |        807 |                   termios
import time:       320 |       1127 |                 getpass
import time:      1058 |       1058 |                   html.entities
import time:       501 |       1559 |                 html
import time:       538 |        538 |                 rich._null_file
import time:      1042 |       1042 |                 rich.errors
import time:       150 |        150 |                         colorsys
import time:       520 |        520 |                             rich.color_triplet
import time:       481 |       1000 |                           rich.palette
import time:       238 |       1237 |                         rich._palettes
import time:       514 |        514 |                         rich.repr
import time:       331 |        331 |                         rich.terminal_theme
import time:      1003 |       3234 |                       rich.color
import time:       782 |       4015 |                     rich.style
import time:       648 |       4663 |                   rich.default_styles
import time:      1315 |       1315 |                     configparser
import time:       466 |       1780 |                   rich.theme
import time:       403 |       6845 |                 rich.themes
import time:      1801 |       1801 |                   rich._emoji_codes
import time:       378 |       2179 |                 rich._emoji_replace
import time:       353 |        353 |                 rich._export_format
import time:       200 |        200 |                 rich._fileno
import time:       283 |        283 |                     rich._loop
import time:       175 |        175 |                     rich._pick
import time:       401 |        401 |                         rich._cell_widths
import time:       469 |        869 |                       rich.cells
import time:       558 |       1426 |                     rich._wrap
import time:      1053 |       1053 |                           rich.segment
import time:       391 |       1443 |                         rich.jupyter
import time:       329 |        329 |                           rich.protocol
import time:       503 |        831 |                         rich.measure
import time:       342 |       2615 |                       rich.constrain
import time:       481 |       3096 |                     rich.align
import time:       565 |        565 |                     rich.containers
import time:       478 |        478 |                     rich.control
import time:       211 |        211 |                     rich.emoji
import time:      1100 |       7330 |                   rich.text
import time:       423 |       7752 |                 rich._log_render
import time:       547 |        547 |                 rich.highlighter
import time:       777 |        777 |                 rich.markup
import time:       290 |        290 |                 rich.pager
import time:        55 |         55 |                           _wmi
import time:       605 |        660 |                         platform
import time:       621 |       1280 |                       attr._compat
import time:       269 |        269 |                         attr._config
import time:       292 |        292 |                           attr.exceptions
import time:       208 |        499 |                         attr.setters
import time:      2376 |       3143 |                       attr._make
import time:       507 |       4930 |                     attr.converters
import time:       355 |        355 |                     attr.filters
import time:      2661 |       2661 |                     attr.validators
import time:       258 |        258 |                     attr._cmp
import time:       262 |        262 |                     attr._funcs
import time:       257 |        257 |                     attr._next_gen
import time:       491 |        491 |                     attr._version_info
import time:       576 |       9787 |                   attr
import time:       147 |        147 |                   rich.abc
import time:      1552 |      11485 |                 rich.pretty
import time:       380 |        380 |                 rich.region
import time:       527 |        527 |                     rich.box
import time:       372 |        372 |                     rich.padding
import time:       374 |       1272 |                   rich.panel
import time:       393 |        393 |                     rich._ratio
import time:      1555 |       1948 |                   rich.table
import time:       302 |       3521 |                 rich.scope
import time:       170 |        170 |                 rich.screen
import time:       155 |        155 |                 rich.styled
import time:      3210 |      43090 |               rich.console
import time:       913 |        913 |                 mmap
import time:       184 |        184 |                 rich.filesize
import time:       576 |        576 |                     rich.ansi
import time:       190 |        766 |                   rich.file_proxy
import time:       289 |        289 |                   rich.live_render
import time:       623 |       1677 |                 rich.live
import time:       234 |        234 |                 rich.progress_bar
import time:       336 |        336 |                   rich._spinners
import time:       468 |        804 |                 rich.spinner
import time:      1592 |       5399 |               rich.progress
import time:       346 |        346 |                   pygments.filter
import time:       538 |        538 |                     pygments.token
import time:       521 |       1058 |                   pygments.filters
import time:       312 |        312 |                   pygments.regexopt
import time:       621 |       2336 |                 pygments.lexer
import time:       510 |        510 |                 pygments.style
import time:       281 |        281 |                   pygments.styles._mapping
import time:       371 |        652 |                 pygments.styles
import time:       836 |       4334 |               rich.syntax
import time:       645 |      72315 |             httpx._main
import time:       474 |     119856 |           httpx
import time:      2520 |       2520 |               pydantic.functional_validators
import time:       353 |        353 |               pydantic._internal._discriminated_union
import time:       314 |        314 |               pydantic._internal._known_annotated_metadata
import time:       543 |        543 |               pydantic._internal._schema_gather
import time:      1216 |       4943 |             pydantic._internal._generate_schema
import time:       331 |        331 |             pydantic._internal._signature
import time:       518 |       5791 |           pydantic._internal._model_construction
import time:      2109 |     127755 |         openai._types
import time:       342 |        342 |                 sniffio._version
import time:       209 |        209 |                 sniffio._impl
import time:       259 |        809 |               sniffio
import time:       655 |        655 |                           pydantic.v1.typing
import time:      1502 |       2156 |                         pydantic.v1.errors
import time:        63 |         63 |                             cython
import time:       229 |        292 |                           pydantic.v1.version
import time:       907 |       1198 |                         pydantic.v1.utils
import time:       599 |       3952 |                       pydantic.v1.class_validators
import time:       809 |        809 |                       pydantic.v1.config
import time:       575 |        575 |                           pydantic.v1.color
import time:      1174 |       1174 |                               pydantic.v1.datetime_parse
import time:      1141 |       2315 |                             pydantic.v1.validators
import time:      1103 |       3417 |                           pydantic.v1.networks
import time:      1562 |       1562 |                           pydantic.v1.types
import time:       346 |       5898 |                         pydantic.v1.json
import time:       497 |       6395 |                       pydantic.v1.error_wrappers
import time:       798 |        798 |                       pydantic.v1.fields
import time:       445 |        445 |                             _compat_pickle
import time:      1093 |       1093 |                             _pickle
import time:       797 |       2335 |                           pickle
import time:       305 |       2639 |                         pydantic.v1.parse
import time:       812 |        812 |                         pydantic.v1.schema
import time:       929 |       4379 |                       pydantic.v1.main
import time:       759 |      17090 |                     pydantic.v1.dataclasses
import time:       318 |        318 |                     pydantic.v1.annotated_types
import time:       362 |        362 |                     pydantic.v1.decorator
import time:       651 |        651 |                     pydantic.v1.env_settings
import time:       309 |        309 |                     pydantic.v1.tools
import time:       300 |      19028 |                   pydantic.v1
import time:        11 |      19039 |                 pydantic.v1.typing
import time:       293 |        293 |                 pydantic.plugin._loader
import time:     17076 |      36407 |               openai._compat
import time:       359 |      37574 |             openai._utils._utils
import time:       321 |      37895 |           openai._utils._logs
import time:       362 |        362 |                 anyio._core
import time:       555 |        916 |               anyio._core._contextmanagers
import time:       358 |        358 |               anyio._core._eventloop
import time:       446 |        446 |               anyio._core._exceptions
import time:       476 |        476 |                     anyio.abc._eventloop
import time:       302 |        302 |                     anyio.abc._resources
import time:       295 |        295 |                       anyio._core._typedattr
import time:       292 |        292 |                         anyio.abc._tasks
import time:       790 |       1082 |                       anyio.abc._streams
import time:       564 |       1941 |                     anyio.abc._sockets
import time:       231 |        231 |                     anyio.abc._subprocesses
import time:       304 |        304 |                     anyio.abc._testing
import time:       943 |        943 |                       anyio.lowlevel
import time:       520 |        520 |                       anyio._core._tasks
import time:       248 |        248 |                       anyio._core._testing
import time:      2219 |       3929 |                     anyio._core._synchronization
import time:       813 |        813 |                     anyio.from_thread
import time:       427 |       8419 |                   anyio.abc
import time:       236 |       8654 |                 anyio.to_thread
import time:       816 |       9470 |               anyio._core._fileio
import time:       245 |        245 |               anyio._core._resources
import time:       190 |        190 |               anyio._core._signals
import time:       202 |        202 |                   anyio.streams
import time:       910 |       1111 |                 anyio.streams.stapled
import time:       887 |        887 |                 anyio.streams.tls
import time:       923 |       2920 |               anyio._core._sockets
import time:      1236 |       1236 |                 anyio.streams.memory
import time:       197 |       1432 |               anyio._core._streams
import time:       296 |        296 |               anyio._core._subprocesses
import time:       434 |        434 |               anyio._core._tempfile
import time:       447 |      17151 |             anyio
import time:       379 |      17530 |           openai._utils._sync
import time:       276 |        276 |           openai._utils._proxy
import time:       339 |        339 |           openai._utils._typing
import time:       342 |        342 |           openai._utils._streams
import time:       839 |        839 |             openai._files
import time:       317 |       1156 |           openai._utils._transform
import time:       204 |        204 |           openai._utils._reflection
import time:       334 |      58071 |         openai._utils
import time:       379 |        379 |         openai._constants
import time:       240 |        240 |         pydantic._internal._serializers
import time:      5009 |     290138 |       openai._models
import time:       554 |        554 |       openai.types.batch_error
import time:       487 |        487 |           openai.types.shared.metadata
import time:       412 |        412 |             openai.types.shared.reasoning_effort
import time:       393 |        804 |           openai.types.shared.reasoning
import time:       179 |        179 |             openai.types.shared.chat_model
import time:       438 |        617 |           openai.types.shared.all_models
import time:       286 |        286 |           openai.types.shared.error_object
import time:       375 |        375 |             openai.types.shared.comparison_filter
import time:       384 |        758 |           openai.types.shared.compound_filter
import time:       132 |        132 |           openai.types.shared.responses_model
import time:       116 |        116 |             openai.types.shared.function_parameters
import time:       485 |        600 |           openai.types.shared.function_definition
import time:       348 |        348 |           openai.types.shared.response_format_text
import time:       457 |        457 |           openai.types.shared.custom_tool_input_format
import time:       212 |        212 |           openai.types.shared.response_format_json_object
import time:       547 |        547 |           openai.types.shared.response_format_json_schema
import time:       308 |        308 |           openai.types.shared.response_format_text_python
import time:       250 |        250 |           openai.types.shared.response_format_text_grammar
import time:       423 |       6224 |         openai.types.shared
import time:        22 |       6246 |       openai.types.shared.metadata
import time:       341 |        341 |       openai.types.batch_request_counts
import time:      1157 |     298434 |     openai.types.batch
import time:       535 |        535 |     openai.types.image
import time:       360 |        360 |     openai.types.model
import time:       728 |        728 |       openai.types.file_object
import time:       700 |       1428 |     openai.types.upload
import time:       640 |        640 |     openai.types.embedding
import time:       116 |        116 |     openai.types.chat_model
import time:       528 |        528 |       openai.types.completion_usage
import time:       743 |        743 |       openai.types.completion_choice
import time:       508 |       1778 |     openai.types.completion
import time:      1760 |       1760 |     openai.types.moderation
import time:       283 |        283 |     openai.types.audio_model
import time:       340 |        340 |     openai.types.image_model
import time:       197 |        197 |     openai.types.file_content
import time:       248 |        248 |     openai.types.file_deleted
import time:       221 |        221 |     openai.types.file_purpose
import time:       664 |        664 |     openai.types.vector_store
import time:       378 |        378 |     openai.types.model_deleted
import time:       329 |        329 |     openai.types.embedding_model
import time:       757 |        757 |     openai.types.images_response
import time:       359 |        359 |     openai.types.eval_list_params
import time:       177 |        177 |     openai.types.file_list_params
import time:       381 |        381 |     openai.types.moderation_model
import time:       272 |        272 |     openai.types.batch_list_params
import time:       463 |        463 |     openai.types.image_edit_params
import time:       306 |        306 |           openai.types.shared_params.metadata
import time:       284 |        284 |           openai.types.shared_params.reasoning
import time:       117 |        117 |           openai.types.shared_params.chat_model
import time:       160 |        160 |             openai.types.shared_params.comparison_filter
import time:       277 |        436 |           openai.types.shared_params.compound_filter
import time:       224 |        224 |           openai.types.shared_params.responses_model
import time:       105 |        105 |           openai.types.shared_params.reasoning_effort
import time:       104 |        104 |             openai.types.shared_params.function_parameters
import time:       166 |        269 |           openai.types.shared_params.function_definition
import time:       138 |        138 |           openai.types.shared_params.response_format_text
import time:       182 |        182 |           openai.types.shared_params.custom_tool_input_format
import time:       129 |        129 |           openai.types.shared_params.response_format_json_object
import time:       262 |        262 |           openai.types.shared_params.response_format_json_schema
import time:       204 |       2651 |         openai.types.shared_params
import time:        19 |       2670 |       openai.types.shared_params.metadata
import time:       451 |        451 |             openai.types.graders.python_grader
import time:       654 |        654 |                     openai.types.responses.web_search_tool
import time:       545 |        545 |                     openai.types.responses.custom_tool
import time:       445 |        445 |                     openai.types.responses.computer_tool
import time:       605 |        605 |                     openai.types.responses.function_tool
import time:       703 |        703 |                     openai.types.responses.file_search_tool
import time:      2878 |       5828 |                   openai.types.responses.tool
import time:       431 |        431 |                     openai.types.responses.response_error
import time:       489 |        489 |                     openai.types.responses.response_usage
import time:       522 |        522 |                       openai.types.responses.response_input_file
import time:       484 |        484 |                       openai.types.responses.response_input_text
import time:       535 |        535 |                       openai.types.responses.response_input_image
import time:       549 |       2089 |                     openai.types.responses.response_prompt
import time:       345 |        345 |                     openai.types.responses.response_status
import time:       320 |        320 |                     openai.types.responses.tool_choice_mcp
import time:       438 |        438 |                     openai.types.responses.tool_choice_types
import time:       306 |        306 |                     openai.types.responses.tool_choice_custom
import time:       247 |        247 |                           openai.types.responses.response_input_content
import time:       217 |        464 |                         openai.types.responses.response_input_message_content_list
import time:       368 |        831 |                       openai.types.responses.easy_input_message
import time:      1363 |       1363 |                         openai.types.responses.response_output_text
import time:       234 |        234 |                         openai.types.responses.response_output_refusal
import time:       586 |       2181 |                       openai.types.responses.response_output_message
import time:       671 |        671 |                       openai.types.responses.response_reasoning_item
import time:       476 |        476 |                       openai.types.responses.response_custom_tool_call
import time:      1854 |       1854 |                       openai.types.responses.response_computer_tool_call
import time:       505 |        505 |                       openai.types.responses.response_function_tool_call
import time:      1560 |       1560 |                       openai.types.responses.response_function_web_search
import time:       659 |        659 |                       openai.types.responses.response_file_search_tool_call
import time:       400 |        400 |                       openai.types.responses.response_custom_tool_call_output
import time:       845 |        845 |                       openai.types.responses.response_code_interpreter_tool_call
import time:       573 |        573 |                       openai.types.responses.response_computer_tool_call_output_screenshot
import time:      2378 |      12926 |                     openai.types.responses.response_input_item
import time:       281 |        281 |                     openai.types.responses.tool_choice_allowed
import time:       272 |        272 |                     openai.types.responses.tool_choice_options
import time:      1370 |       1370 |                     openai.types.responses.response_output_item
import time:       313 |        313 |                         openai.types.responses.response_format_text_json_schema_config
import time:       359 |        672 |                       openai.types.responses.response_format_text_config
import time:       275 |        946 |                     openai.types.responses.response_text_config
import time:       370 |        370 |                     openai.types.responses.tool_choice_function
import time:      1547 |      22122 |                   openai.types.responses.response
import time:       309 |        309 |                           openai.types.chat.chat_completion_audio
import time:       431 |        431 |                             openai.types.chat.chat_completion_message_custom_tool_call
import time:       524 |        524 |                             openai.types.chat.chat_completion_message_function_tool_call
import time:       156 |       1110 |                           openai.types.chat.chat_completion_message_tool_call
import time:       766 |       2185 |                         openai.types.chat.chat_completion_message
import time:       694 |        694 |                         openai.types.chat.chat_completion_token_logprob
import time:       757 |       3634 |                       openai.types.chat.chat_completion
import time:       336 |        336 |                       openai.types.chat.chat_completion_role
import time:      1145 |       1145 |                       openai.types.chat.chat_completion_chunk
import time:       413 |        413 |                       openai.types.chat.completion_list_params
import time:       549 |        549 |                         openai.types.chat.parsed_function_tool_call
import time:      1030 |       1579 |                       openai.types.chat.parsed_chat_completion
import time:       447 |        447 |                       openai.types.chat.chat_completion_deleted
import time:       248 |        248 |                       openai.types.chat.chat_completion_modality
import time:       184 |        184 |                         openai.types.chat.chat_completion_audio_param
import time:       245 |        245 |                             openai.types.chat.chat_completion_content_part_text_param
import time:       161 |        406 |                           openai.types.chat.chat_completion_tool_message_param
import time:       346 |        346 |                               openai.types.chat.chat_completion_content_part_image_param
import time:       237 |        237 |                               openai.types.chat.chat_completion_content_part_input_audio_param
import time:       205 |        786 |                             openai.types.chat.chat_completion_content_part_param
import time:       239 |       1024 |                           openai.types.chat.chat_completion_user_message_param
import time:       217 |        217 |                           openai.types.chat.chat_completion_system_message_param
import time:       163 |        163 |                           openai.types.chat.chat_completion_function_message_param
import time:       142 |        142 |                             openai.types.chat.chat_completion_content_part_refusal_param
import time:       176 |        176 |                               openai.types.chat.chat_completion_message_custom_tool_call_param
import time:       173 |        173 |                               openai.types.chat.chat_completion_message_function_tool_call_param
import time:       244 |        591 |                             openai.types.chat.chat_completion_message_tool_call_union_param
import time:       397 |       1129 |                           openai.types.chat.chat_completion_assistant_message_param
import time:       156 |        156 |                           openai.types.chat.chat_completion_developer_message_param
import time:       283 |       3375 |                         openai.types.chat.chat_completion_message_param
import time:       461 |        461 |                           openai.types.chat.chat_completion_custom_tool_param
import time:       289 |        289 |                           openai.types.chat.chat_completion_function_tool_param
import time:       193 |        942 |                         openai.types.chat.chat_completion_tool_union_param
import time:       210 |        210 |                         openai.types.chat.chat_completion_stream_options_param
import time:       261 |        261 |                         openai.types.chat.chat_completion_prediction_content_param
import time:       162 |        162 |                           openai.types.chat.chat_completion_named_tool_choice_param
import time:       336 |        336 |                             openai.types.chat.chat_completion_allowed_tools_param
import time:       225 |        561 |                           openai.types.chat.chat_completion_allowed_tool_choice_param
import time:       211 |        211 |                           openai.types.chat.chat_completion_named_tool_choice_custom_param
